Type,Food,Calories,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,TotalCarbohydrates,DietaryFiber,Sugars,Protein
Original Recipe Chicken,Original Recipe Chicken Breast,390,21,4,0,120,1190,11,2,0,39
Original Recipe Chicken,Original Recipe Chicken Drumstik,130,8,1.5,0,55,430,4,1,0,12
Original Recipe Chicken,Original Recipe Chicken Thigh,280,19,4.5,0,100,910,8,1,0,19
Original Recipe Chicken,Original Recipe Chicken Whole Wing,130,8,2,0,55,380,3,0,0,10
Extra Crispy Chicken,Extra Crispy Chicken Breast,530,35,6,0,105,1150,18,0,0,35
Extra Crispy Chicken,Extra Crispy Chicken Drumstick,170,12,2,0,50,390,5,0,0,10
Extra Crispy Chicken,Extra Crispy Chicken Thigh,330,23,4.5,0,100,700,9,0,0,22
Extra Crispy Chicken,Extra Crispy Chicken Whole Wing,170,13,2,0,45,340,5,0,0,10
Kentucky Grilled Chicken,Kentucky Grilled Chicken Breast,210,7,2,0,130,710,0,0,0,38
Kentucky Grilled Chicken,Kentucky Grilled Chicken Drumstick,80,4,1,0,55,220,0,0,0,11
Kentucky Grilled Chicken,Kentucky Grilled Chicken Thigh,150,9,3,0,90,420,0,0,0,17
Kentucky Grilled Chicken,Kentucky Grilled Chicken Whole Wing,70,3,1,0,45,180,0,0,0,9
Spicy Crispy Chicken,Spicy Crispy Chicken Breast,350,20,3.5,0,100,1100,11,1,0,30
Spicy Crispy Chicken,Spicy Crispy Chicken Drumstick,130,8,1.5,0,40,420,5,1,0,9
Spicy Crispy Chicken,Spicy Crispy Chicken Thigh,270,20,3.5,0,65,720,10,1,0,13
Spicy Crispy Chicken,Spicy Crispy Chicken Whole Wing,120,8,1.5,0,35,350,5,0,0,7
Extra Crispy Tenders,Extra Crispy Tender,260,14,2,0,50,610,15,0,0,19
Extra Crispy Tenders,Nashville Hot Extra Crispy Tender,220,16,2.5,0,25,460,9,0,0,10
Kentucky Fried Wings,Kentucky Fried Wings - Buffalo,100,7,1.5,0,20,310,3,0,0,5
Kentucky Fried Wings,Kentucky Fried Wings - Honey BBQ,100,6,1,0,20,210,8,0,4,5
Kentucky Fried Wings,Kentucky Fried Wings - Nashville Hot,130,11,2,0,20,230,4,0,0,5
Kentucky Fried Wings,Kentucky Fried Wings - Unsauced,80,6,1,0,20,150,3,0,0,5
Popcorn Nuggets,Popcorn Nuggets - Kids,290,19,2.5,0,30,870,19,1,0,13
Popcorn Nuggets,Popcorn Nuggets - Large,620,39,5,0,65,1820,39,2,0,27
Nashville Hot Chicken,Nashville Hot Chicken Extra Crispy Chicken Breast,770,60,10,0,105,1530,21,1,1,35
Nashville Hot Chicken,Nashville Hot Extra Crispy Chicken Drumstick,250,21,3.5,0,50,530,6,1,0,11
Nashville Hot Chicken,Nashville Hot Extra Crispy Chicken Thigh,500,40,7,0,100,970,11,1,1,22
Nashville Hot Chicken,Nashville Hot Extra Crispy Chicken Whole Wing,290,25,4,0,45,520,6,1,1,10
Nashville Hot Chicken,Nashville Hot Kentucky Grilled Chicken Breast,260,12,3,0,130,790,1,0,0,38
Nashville Hot Chicken,Nashville Hot Kentucky Grilled Chicken Drumstivk,100,6,1.5,0,55,260,0,0,0,11
Nashville Hot Chicken,Nashville Hot Kentucky Grilled Chicken Thigh,180,12,3.5,0,90,470,0,0,0,17
Nashville Hot Chicken,Nashville Hot Kentucky Grilled Chicken Whole Wing,90,6,1.5,0,45,210,1,0,0,9
Nashville Hot Chicken,Nashville Hot Spicy Crispy Chicken Breast,540,40,7,0,100,1390,14,2,1,31
Nashville Hot Chicken,Nashville Hot Spicy Crispy Chicken Drumstick,190,14,2.5,0,40,510,6,1,0,9
