Food,Type,Serving Size (oz),Calories,Calories From Fat (G),Total Fat (G),Saturated Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Total Carb (G),Dietary Fiber (G),Sugars (G),Protein (G)
Chow Mein,Side,9.4,510,180,20,3.5,0,0,860,80,6,9,13
Chow Mein - Kid's Meal,Side,5.2,280,110,12,2,0,0,540,36,2,5,7
Fried Rice,Side,9.3,520,140,16,3,0,120,850,85,1,3,11
Fried Rice - Kid's Meal,Side,6.2,350,90,10,2,0,80,570,57,0,2,7
Brown Steamed Rice,Side,10.4,420,35,4,1,0,0,15,86,4,1,9
Brown Steamed Rice - Kid's Meal,Side,7.81,310,25,3,0.5,0,0,10,64,3,1,7
White Steamed Rice,Side,8.1,380,0,0,0,0,0,0,87,0,0,7
White Steamed Rice - Kid's Meal,Side,5.1,240,0,0,0,0,0,0,54,0,0,5
Super Greens,Side,7,90,25,3,0,0,0,260,10,5,4,6
Super Greens - Kid's Meal,Side,5.25,60,18,2,0,0,0,200,7,4,3,4
Chow Fun,Side,8.5,410,80,9,1,0,0,1110,73,1,6,9
Chow Fun - Kid's Meal,Side,6.2,300,60,6,0.5,0,0,810,53,1,4,6
Super Greens Entrée,Vegetables,3.5,45,15,2,0,0,0,130,5,3,2,3
Super Greens - Kid's Meal Entrée,Vegetables,2.5,30,10,1,0,0,0,95,4,2,2,2
Eggplant Tofu,Vegetables,6.1,340,220,24,3.5,0,0,520,23,3,17,7
Eggplant Tofu - Kid's Meal,Vegetables,4.6,250,160,18,2.5,0,0,390,17,2,13,5
Black Pepper Chicken,Chicken,6.3,280,170,19,3.5,0,55,1130,15,1,7,13
Black Pepper Chicken - Kid's Meal,Chicken,4.6,200,130,14,2.5,0,40,830,11,0,5,10
Kung Pao Chicken,Chicken,6.2,290,170,19,3.5,0,55,970,14,2,6,16
Kung Pao Chicken - Kid's Meal,Chicken,4.4,200,120,14,2.5,0,40,690,10,2,4,11
Grilled Teriyaki Chicken,Chicken,6,300,120,13,4,0,185,530,8,0,8,36
Grilled Teriyaki Chicken - Kid's Meal,Chicken,3.6,180,70,8,2.5,0,110,320,5,0,5,22
Grilled Asian Chicken,Chicken,6,300,120,13,4,0,185,530,8,0,8,36
Grilled Asian Chicken - Kid's Meal,Chicken,3.6,180,70,8,2.5,0,110,320,5,0,5,22
Teriyaki Chicken,Chicken,6,340,110,13,3.5,0,195,630,14,3,10,41
Teriyaki Chicken - Kid's Meal,Chicken,3.6,180,70,8,2.5,0,110,320,5,0,5,22
Asian Chicken,Chicken,6,340,110,13,3.5,0,195,630,14,3,10,41
Asian Chicken - Kid's Meal,Chicken,3.6,180,70,8,2.5,0,110,320,5,0,5,22
Mushroom Chicken,Chicken,5.7,220,130,14,2.5,0,50,840,10,1,5,13
Mushroom Chicken - Kid's Meal,Chicken,4.3,170,100,11,2,0,40,650,8,0,4,10
Orange Chicken,Chicken,5.7,490,210,23,5,0,80,820,51,2,19,25
Orange Chicken - Kid's Meal,Chicken,4.3,370,155,17,3.5,0,60,620,38,1,14,19
Potato Chicken,Chicken,5.2,190,90,10,2,0,30,680,18,2,4,8
Potato Chicken - Kid's Meal,Chicken,3.9,140,70,8,0,0,20,0,15,1,0,0
Honey Sesame Chicken Breast,Chicken,5.3,490,200,22,4,0,45,480,40,2,19,16
Honey Sesame Chicken Breast - Kid's Meal,Chicken,4,320,150,17,3,0,30,360,30,2,14,12
String Bean Chicken Breast,Chicken,5.6,190,80,9,2,0,34,590,13,4,4,14
String Bean Chicken Breast - Kid's Meal,Chicken,4.2,140,60,7,1.5,0,26,440,10,3,3,11
Sweetfire Chicken Breast,Chicken,5.8,380,140,15,3,0,35,320,47,1,27,13
Sweetfire Chicken Breast - Kid's Meal,Chicken,4.4,280,100,12,2,0,25,240,35,1,20,10
Sweet & Sour Chicken Breast,Chicken,5.5,300,110,12,3,0,25,260,40,1,24,10
Sweet & Sour Chicken Breast - Kid's Meal,Chicken,4.1,270,90,10,2,0,20,220,35,1,21,9
Sichuan Hot Chicken,Chicken,4.25,400,235,26,4.5,0,45,910,22,2,1,19
Sichuan Hot Chicken - Kid's Meal,Chicken,3.2,300,180,20,3.5,0,35,680,17,1,1,14
Beijing Beef,Beef,5.6,470,240,26,5,0,25,660,46,1,24,13
