Food,Type,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,TotalCarbohydrates,DietaryFiber,Sugars,Protein
Breakfast Crunchwrap - Bacon,Breakfast,670,370,41,12,0,140,1270,50,4,3,21
Breakfast Crunchwrap - Sausage,Breakfast,720,430,47,15,0,145,1210,51,4,3,21
Breakfast Crunchwrap - Steak,Breakfast,660,350,38,12,0,145,1300,51,4,3,24
Cheesy Toasted Breakfast Burrito - Bacon,Breakfast,350,150,16,4.5,0,115,870,36,2,3,13
Cheesy Toasted Breakfast Burrito - Fiesta Potato,Breakfast,330,130,14,3.5,0,100,750,42,3,3,10
Cheesy Toasted Breakfast Burrito - Sausage,Breakfast,340,160,17,5,0,110,730,36,2,3,11
Cinnabon Delights (2 pack),Breakfast,160,80,9,2,0,5,80,17,0,10,2
Cinnabon Delights (12 pack),Breakfast,930,480,53,13,2,40,480,104,3,59,9
Grande Toasted Breakfast Burrito - Bacon,Breakfast,560,270,30,10,0,230,1280,49,4,3,24
Grande Toasted Breakfast Burrito - Sausage,Breakfast,560,280,31,10,0,230,1150,48,4,2,22
Grande Toasted Breakfast Burrito - Steak,Breakfast,560,250,28,9,0,240,1310,49,4,2,27
Hash Brown,Breakfast,160,100,12,1,0,0,270,13,2,0,1
Hash Brown Toasted Breakfast Burrito - Bacon,Breakfast,570,300,33,10,0,135,1270,49,4,2,21
Hash Brown Toasted Breakfast Burrito - Sausage,Breakfast,570,300,34,10,0,130,1130,49,4,2,18
Hash Brown Toasted Breakfast Burrito - Steak,Breakfast,570,270,30,9,0,140,1290,50,4,2,24
Iced Regular Coffee,Beverage,10,0,0,0,0,0,0,0,0,0,2
Mtn Dew Kickstart Orange Citrus (16 oz),Beverage,70,0,0,0,0,0,75,18,0,18,0
Rainforest Coffee,Beverage,10,0,0,0,0,0,0,0,0,0,2
Rainforest Coffee with Nestle Coffee-Mate Sweetened Original Creamer,Beverage,30,10,1.5,1,0,0,0,3,0,3,2
Tropican Orange Juice,Beverage,140,0,0,0,0,0,20,33,0,28,2
Bean Burrito,Burrito,350,80,9,3.5,0,5,1000,54,11,3,13
Beef Burrito,Burrito,430,170,19,5,0,20,970,51,4,3,12
Beefy 5-Layer Burrito,Burrito,490,160,18,7,0,30,1250,63,9,5,18
Black Bean Quesarito,Burrito,630,270,29,10,0,35,1260,73,7,5,19
Burrito Supreme - Beef,Burrito,390,130,14,6,0,25,1110,51,9,4,16
Burrito Supreme - Chicken,Burrito,370,100,11,4.5,0,35,1110,49,8,4,19
Burrito Supreme - Steak,Burrito,370,110,12,5,0,30,1090,49,7,4,18
Cheesy Bean & Rice Burrito,Burrito,420,140,16,4,0,0,880,56,7,3,10
Chili Cheese Burrito,Burrito,370,150,17,8,0,35,970,40,4,2,16
Quesarito - Beef,Burrito,650,300,33,12,0.5,55,1390,67,6,5,22
Quesarito - Chicken,Burrito,640,290,32,11,0,70,1340,66,4,4,23
Quesarito - Steak,Burrito,630,270,30,11,0,60,1370,66,4,4,24
Shredded Chicken Burrito,Burrito,420,180,20,6,0,45,900,47,3,2,15
Mtn Dew Baja Blast Freeze (16 oz),Beverage,150,0,0,0,0,0,45,41,0,41,0
Mtn Dew Baja Blast Freeze (20 oz),Beverage,190,0,0,0,0,0,55,51,0,51,0
Pineapple Freeze (16 oz),Beverage,160,0,0,0,0,0,50,41,0,41,0
Pineapple Freeze (20 oz),Beverage,190,0,0,0,0,0,65,52,0,52,0
Pineapple Whip Freeze (16 oz),Beverage,210,10,1,0.5,0,0,55,52,0,49,0
Pineapple Whip Freeze (20 oz),Beverage,250,10,1,0.5,0,0,70,62,0,60,0
Wild Strawberry Freeze (16 oz),Beverage,150,0,0,0,0,0,40,41,0,41,0
Wild Strawberry Freeze (20 oz),Beverage,190,0,0,0,0,0,55,51,0,51,0
Fresco Bean Burrito,Low-Cal,330,70,7,2.5,0,0,950,54,11,4,11
Fresco Burrito Supreme - Chicken,Low-Cal,320,70,7,2.5,0,25,1040,46,7,3,17
Fresco Burrito Supreme - Steak,Low-Cal,330,70,8,3,0,20,1020,47,7,3,16
Fresco Crunchy Taco - Beef,Low-Cal,140,70,7,2.5,0,15,270,13,3,1,6
Fresco Soft Taco - Beef,Low-Cal,160,60,7,2.5,0,15,450,18,3,2,8
Fresco Soft Taco - Shredded Chicken,Low-Cal,150,50,6,2,0,30,400,16,2,1,9
Fresco Soft Taco - Steak,Low-Cal,140,35,4,1.5,0,20,430,16,1,1,10
Power Menu Bowl - Chicken,High Protein,470,170,19,6,0,70,1200,50,7,2,26
Power Menu Bowl - Steak,High Protein,480,180,20,7,0,60,1150,51,7,2,25
Power Menu Bowl - Veggie,High Protein,430,160,17,5,0,20,810,57,10,2,12
Black Beans & Rice,Side,170,30,3.5,0,0,0,320,31,4,0,4
